market_code,所属概念,股票代码,所属概念数量,code
151,专精特新;新股与次新股;融资融券,920076.BJ,3,920076
151,回购增持再贷款概念;融资融券;天然气;专精特新;大飞机;氢能源,920014.BJ,6,920014
151,低空经济;先进封装;房屋检测;芯片概念;地下管网;新型城镇化;融资融券,920427.BJ,7,920427
33,ST板块;绿色电力;高铁;光伏概念,300391.SZ,4,300391
33,ChatGPT概念;华为盘古;AIGC概念;AI智能体;元宇宙;人工智能;虚拟现实;华为概念;跨境电商;无人机;智能穿戴;家用电器;人民币贬值受益;消费电子概念;AI应用;股权转让(并购重组);深股通,300592.SZ,17,300592
17,共封装光学(CPO);光刻机;光纤概念;AI眼镜;芯片概念;量子科技;数据中心;福建自贸区;华为概念;海峡两岸;卫星导航;独角兽概念;商业航天;专精特新;无人驾驶;医疗器械概念;沪股通;股权转让(并购重组);融资融券,688195.SH,19,688195
33,新型城镇化;水利;光伏建筑一体化;商业航天;海峡两岸;融资融券;深股通,300737.SZ,7,300737
17,MiniLED;先进封装;芯片概念;专精特新;融资融券,688699.SH,5,688699
33,ChatGPT概念;云办公;云计算;中国AI 50;信创;数据安全;智慧政务;网络安全;DeepSeek概念;人工智能;东数西算(算力);英伟达概念;物联网;数据中心;机器人概念;粤港澳大湾区;AI应用;融资融券;深股通,300454.SZ,19,300454
17,智谱AI;华为欧拉;华为鲲鹏;智慧政务;云计算;信创;网络安全;算力租赁;东数西算(算力);DeepSeek概念;数字经济;华为概念;互联网金融;低空经济;物联网;英伟达概念;数据中心;无人驾驶;融资融券,688316.SH,19,688316
33,航空发动机;大飞机;商业航天;军民融合;军工;无人机;海工装备;高端装备;专精特新;西部大开发;融资融券;深股通,300775.SZ,12,300775
33,成飞概念;军民融合;军工;雅下水电概念;芯片概念;华为概念;西部大开发;宁德时代概念;医疗器械概念;2025年报预增;深股通;融资融券,301286.SZ,12,301286
33,医疗器械概念;一带一路;京津冀一体化;汽车热管理;风电;机器人概念;新能源汽车;充电桩;储能;国企改革;光伏概念;比亚迪概念;数据中心;5G;液冷服务器;股权转让(并购重组),300828.SZ,16,300828
17,光伏概念;虚拟电厂;储能;光伏建筑一体化;智能电网;回购增持再贷款概念;沪股通;融资融券,688390.SH,8,688390
33,ST板块;光伏建筑一体化;互联网金融;数据安全;智慧城市;数字经济;云计算;信创;数字孪生;东数西算(算力);人工智能;DeepSeek概念;数据中心,300344.SZ,13,300344
33,人工智能;智能电网;华为概念;传感器;高端装备;国企改革;生物质能发电;股权转让(并购重组),300277.SZ,8,300277
151,专精特新;商业航天;可控核聚变;西部大开发;核电;海工装备;融资融券;国企改革;卫星导航,920576.BJ,9,920576
33,汽车芯片;MCU芯片;WiFi 6;无线耳机;芯片概念;第三代半导体;先进封装;MiniLED;5G;存储芯片;新型烟草(电子烟);毫米波雷达;专精特新;智能家居;粤港澳大湾区;海峡两岸;深股通;融资融券,300671.SZ,18,300671
33,商业航天;可控核聚变;芯片概念;高端装备;2025三季报预增;氢能源;碳中和;一带一路;共同富裕示范区;新疆振兴;天然气;煤化工概念;俄乌冲突概念;储能;深股通,300435.SZ,15,300435
17,BC电池;TOPCON电池;光伏概念;芯片概念;机器视觉;高端装备;储能;固态电池;锂电池概念;共封装光学(CPO);钙钛矿电池;沪股通;融资融券,688516.SH,13,688516
33,成飞概念;航空发动机;军民融合;大飞机;军工;无人机;低空经济;3D打印;创投;西部大开发;融资融券;深股通,300696.SZ,12,300696
33,商业航天;军民融合;航空发动机;大飞机;军工;核电;京津冀一体化;央企国企改革;特钢概念;国企改革;融资融券;3D打印;深股通,300034.SZ,13,300034
33,太赫兹;军工信息化;卫星导航;6G概念;商业航天;军民融合;军工;低空经济;无人机;华为概念;无人驾驶;家用电器;国企改革;深股通;融资融券,300342.SZ,15,300342
17,云游戏;智谱AI;华为昇腾;数据安全;商业航天;财税数字化;智慧政务;信创;云计算;AI智能体;算力租赁;数字乡村;数据要素;低空经济;东数西算(算力);脑机接口;中国AI 50;智慧城市;DeepSeek概念;人工智能;华为概念;数字经济;智能医疗;数据中心;工业互联网;无人驾驶;机器人概念;专精特新;液冷服务器;融资融券,688158.SH,30,688158
17,汽车芯片;AI眼镜;MCU芯片;消费电子概念;星闪概念;芯片概念;小米概念;AI PC;传感器;华为概念;物联网;机器人概念;专精特新;无人机;鸿蒙概念;锂电池概念;沪股通;融资融券,688595.SH,18,688595
33,元宇宙;智能医疗;数字经济;人工智能;数据要素;数字乡村;智慧城市;家庭医生;数字孪生;智慧政务;区块链;阿里巴巴概念;百度概念;共同富裕示范区;华为鲲鹏;创投;东数西算(算力);华为概念;ETC;车联网(车路协同);机器人概念;数据中心;无人驾驶;ST板块,300020.SZ,24,300020
33,智能医疗;血氧仪;民营医院;三胎概念;横琴新区;医疗器械概念;智能穿戴,300246.SZ,7,300246
151,航空发动机;海工装备;人民币贬值受益;低空经济;中俄贸易概念;商业航天;核电;无人机;风电;西部大开发;融资融券,920943.BJ,11,920943
33,数据中心;华为概念;专精特新;储能;腾讯概念;阿里巴巴概念;百度概念;核电;锂电池概念;长三角一体化;一带一路;互联网金融;融资融券;深股通,300153.SZ,14,300153
17,净水概念;土壤修复;碳中和;固废处理;绿色电力;污水处理;融资融券,688679.SH,7,688679
33,商业航天;卫星导航;6G概念;毫米波雷达;WiFi 6;无人机;同花顺果指数;低空经济;无线充电;智能音箱;5G;车联网(车路协同);柔性屏(折叠屏);富士康概念;AI眼镜;智能穿戴;无线耳机;物联网;华为概念;机器人概念;苹果概念;汽车电子;虚拟现实;特斯拉概念;消费电子概念;粤港澳大湾区;一带一路;回购增持再贷款概念;人民币贬值受益;海峡两岸;深股通;融资融券,300136.SZ,32,300136
33,MicroLED概念;MiniLED;华为概念;OLED;虚拟现实;消费电子概念;汽车电子;回购增持再贷款概念;融资融券,301321.SZ,9,301321
17,房屋检测;水泥概念;京津冀一体化;装配式建筑;雄安新区;创投;一带一路;固废处理;国企改革;物业管理;储能;商业航天;可控核聚变;沪股通;融资融券,601992.SH,15,601992
33,3D打印;柔性屏(折叠屏),300521.SZ,2,300521
33,高压快充;充电桩;中俄贸易概念;储能;一带一路;家用电器;智能家居;新能源汽车;海峡两岸;比亚迪概念;小米汽车;小米概念;消费电子概念;富士康概念;铜缆高速连接;深股通;融资融券,301439.SZ,17,301439
17,海南自贸区;土地流转;俄乌冲突概念;天然气;一带一路;人民币贬值受益;融资融券;沪股通,600759.SH,8,600759
17,中字头股票;商业航天;核电;军工;军民融合;高端装备;国产航母;金属镍;工业母机;风电;小金属概念;一带一路;央企国企改革;特斯拉概念;黑龙江自贸区;国企改革;同花顺中特估100;沪股通;融资融券,601106.SH,19,601106
33,统一大市场;国企改革;水泥概念;冷链物流;中俄贸易概念;一带一路;央企国企改革;智能物流;高铁;充电桩;人工智能;中字头股票;融资融券;深股通,000927.SZ,14,000927
33,煤炭概念;天然气;俄乌冲突概念;新疆振兴;国企改革;深股通;融资融券,000968.SZ,7,000968
33,存储芯片;芯片概念;小米概念;虚拟现实;机器人概念;智能家居;无人机;人民币贬值受益;海峡两岸;深股通,000670.SZ,10,000670
33,物业管理;锂电池概念;碳中和;盐湖提锂;深股通;融资融券,000036.SZ,6,000036
17,C2M概念;AIGC概念;网红经济;抖音概念(字节概念);跨境电商;粤港澳大湾区;股权转让(并购重组);摘帽,603608.SH,8,603608
