所属概念,market_code,股票代码,所属概念数量,code
一带一路;融资融券;光伏概念;第三代半导体;TOPCON电池;BC电池;HJT电池;硅能源,151,920368.BJ,8,920368
机器视觉;数字孪生;钙钛矿电池;机器人概念;光伏概念;人工智能;融资融券;无人机;储能;专精特新;云计算,151,920414.BJ,11,920414
光伏概念;西部大开发;深股通;融资融券,33,300861.SZ,4,300861
商业航天;卫星导航;军工;柔性屏(折叠屏);芯片概念;华为概念;专精特新;消费电子概念;光伏概念;PCB概念;风电;储能;固态电池;先进封装;融资融券,17,688323.SH,15,688323
钙钛矿电池;BC电池;TOPCON电池;光伏概念;专精特新;芯片概念;第三代半导体;比亚迪概念;沪股通;融资融券,17,688726.SH,10,688726
卫星导航;商业航天;军工;MicroLED概念;人脸识别;福建自贸区;海峡两岸;MiniLED;第三代半导体;芯片概念;共封装光学(CPO);汽车电子;消费电子概念;光伏概念;家用电器;智能家居;深股通,33,300102.SZ,17,300102
创新药;仿制药一致性评价;肝炎概念;辅助生殖;基因测序;医药电商;福建自贸区;海峡两岸;融资融券;深股通,33,300436.SZ,10,300436
商业航天;航空发动机;大飞机;无人机;低空经济;核电;工业互联网;机器人概念;专精特新;风电;融资融券,33,301232.SZ,11,301232
商业航天;卫星导航;军工信息化;军民融合;6G概念;军工;无人机;芯片概念;沪股通;融资融券,17,688270.SH,10,688270
商业航天;钙钛矿电池;硅能源;TOPCON电池;HJT电池;光伏概念;光伏建筑一体化;储能;绿色电力;华为概念;乡村振兴;共同富裕示范区;深股通;融资融券,33,300118.SZ,14,300118
Web3.0;云办公;云计算;福建自贸区;海峡两岸;HJT电池;智能电网;钙钛矿电池;光伏概念;储能;TOPCON电池;钠离子电池,33,300051.SZ,12,300051
建筑节能;装配式建筑;体育产业;高铁;风电;智能家居;新能源汽车;专精特新;融资融券,33,301149.SZ,9,301149
TOPCON电池;BC电池;钙钛矿电池;光伏概念;储能;同花顺漂亮100;DeepSeek概念;人民币贬值受益;沪股通;融资融券,17,688223.SH,10,688223
钙钛矿电池;HJT电池;第三代半导体;MicroLED概念;芯片概念;高端装备;新型工业化;先进封装;存储芯片;MiniLED;光伏概念;OLED;回购增持再贷款概念;锂电池概念;融资融券;深股通,33,300751.SZ,16,300751
量子科技;人工智能;机器人概念;雅下水电概念;一带一路;装配式建筑;新型城镇化;AI应用;深股通;融资融券,33,300986.SZ,10,300986
钙钛矿电池;BC电池;HJT电池;TOPCON电池;第三代半导体;硅能源;光伏概念;芯片概念;PET铜箔;锂电池概念;粤港澳大湾区;融资融券;深股通,33,300724.SZ,13,300724
航空发动机;军民融合;商业航天;军工;低空经济;农机;新型工业化;减速器;3D打印;中俄贸易概念;工业互联网;物联网;机器人概念;机器视觉;工业母机;专精特新;新能源汽车;西部大开发;比亚迪概念;跨境电商;云计算;AIGC概念,33,300780.SZ,22,300780
商业航天;军工;无人机;低空经济;毫米波雷达;传感器;机器人概念;无人驾驶;芯片概念;比亚迪概念;汽车电子;消费电子概念;汽车芯片;2025年报预增;沪股通;融资融券,17,688002.SH,16,688002
BC电池;TOPCON电池;光伏概念;芯片概念;机器视觉;高端装备;储能;固态电池;锂电池概念;共封装光学(CPO);钙钛矿电池;沪股通;融资融券,17,688516.SH,13,688516
第三代半导体;培育钻石;先进封装;TOPCON电池;芯片概念;AI眼镜;消费电子概念;光伏概念;新型工业化;数字经济;智能物流;深股通;融资融券,33,300316.SZ,13,300316
