股票代码,code,所属概念,所属概念数量,market_code
920119.BJ,920119,高端装备;固态电池;新股与次新股;融资融券,4,151
688583.SH,688583,空间计算;3D打印;专精特新;大飞机;机器人概念;阿里巴巴概念;比亚迪概念;特斯拉概念;宁德时代概念;融资融券,10,17
688025.SH,688025,共封装光学(CPO);光纤概念;苹果概念;芯片概念;比亚迪概念;MR(混合现实);宁德时代概念;TOPCON电池;钙钛矿电池;专精特新;机器视觉;光伏概念;固态电池;华为概念;虚拟现实;2025年报预增;沪股通;融资融券,18,17
301486.SZ,301486,共封装光学(CPO);富士康概念;光纤概念;消费电子概念;芯片概念;5G;MR(混合现实);比亚迪概念;数据中心;新型工业化;高端装备;华为概念;东数西算(算力);粤港澳大湾区;虚拟现实;华为昇腾;抖音概念(字节概念);阿里巴巴概念;股权转让(并购重组);深股通;融资融券,21,33
300731.SZ,300731,富士康概念;液冷服务器;第三代半导体;宁德时代概念;5G;比亚迪概念;汽车热管理;数据中心;新能源汽车;2025年报预增;小米汽车;储能;家用电器;华为概念;粤港澳大湾区;海峡两岸;创投;深股通,18,33
300805.SZ,300805,AIGC概念;拼多多概念;AI智能体;阿里巴巴概念;华为概念;跨境电商;网约车;AI应用;2025年报预增;新能源汽车,10,33
688280.SH,688280,减速器;比亚迪概念;两轮车;新能源汽车;无人驾驶;专精特新;汽车电子;融资融券,8,17
688330.SH,688330,量子科技;电力物联网;智能电网;专精特新;2025年报预增;融资融券,6,17
688167.SH,688167,共封装光学(CPO);存储芯片;光刻机;光纤概念;先进封装;MicroLED概念;OLED;芯片概念;消费电子概念;MR(混合现实);智能座舱;3D打印;机器视觉;可控核聚变;虚拟现实;无人驾驶;回购增持再贷款概念;西部大开发;医美概念;沪股通;融资融券,21,17
301235.SZ,301235,芯片概念;专精特新;医疗器械概念;辅助生殖;医疗废物处理;回购增持再贷款概念;人工智能;智能医疗;2025年报预增;融资融券,10,33
300385.SZ,300385,固废处理;医疗废物处理;国企改革;专精特新,4,33
688350.SH,688350,污水处理;氢能源;专精特新;盐湖提锂;融资融券,5,17
301266.SZ,301266,BC电池;HJT电池;硅能源;超导概念;光伏概念;专精特新;融资融券,7,33
301317.SZ,301317,新能源汽车;专精特新;空气能热泵;共同富裕示范区;中俄贸易概念;数据中心;污水处理;人工智能;2025年报预增;深股通;融资融券,11,33
688312.SH,688312,PCB概念;苹果概念;消费电子概念;5G;芯片概念;专精特新;机器视觉;粤港澳大湾区;传感器;人工智能;融资融券,11,17
300189.SZ,300189,海南自贸区;转基因;玉米;土地流转;粮食概念;生态农业;农业种植;乡村振兴;合成生物;融资融券,10,33
300570.SZ,300570,共封装光学(CPO);F5G概念;铜缆高速连接;光纤概念;5G;芯片概念;数据中心;传感器;人民币贬值受益;融资融券;深股通,11,33
300757.SZ,300757,共封装光学(CPO);富士康概念;光纤概念;苹果概念;英伟达概念;华为海思概念股;芯片概念;BC电池;新能源汽车;新型工业化;HJT电池;数据中心;TOPCON电池;高端装备;光伏概念;华为概念;商业航天;量子科技;工业互联网;股权转让(并购重组);融资融券;深股通,22,33
688200.SH,688200,第三代半导体;芯片概念;专精特新;高端装备;华为概念;京津冀一体化;沪股通;融资融券,8,17
