股票代码,所属概念,code,market_code,所属概念数量
920510.BJ,新型工业化;芯片概念;机器人概念;融资融券;新能源汽车;减速器;专精特新;人形机器人,920510,151,8
920211.BJ,专精特新;机器人概念;新股与次新股;融资融券,920211,151,4
920193.BJ,新能源汽车;光刻胶;光伏概念;家用电器;2026中报预增;PCB概念;芯片概念;新股与次新股;融资融券;锂电池概念,920193,151,10
920002.BJ,融资融券;机器人概念;人形机器人;专精特新,920002,151,4
920096.BJ,机器人概念;专精特新;新股与次新股;融资融券,920096,151,4
301199.SZ,新型工业化;长安汽车概念;机器人概念;智能物流;高端装备;工业互联网;人工智能;物联网;新能源汽车;建筑节能;军工;比亚迪概念;融资融券,301199,33,13
300580.SZ,工业母机;人形机器人;新型工业化;华为汽车;机器视觉;机器人概念;特斯拉概念;新能源汽车;比亚迪概念;燃料电池;氢能源;PCB概念;深股通,300580,33,13
300985.SZ,石墨烯;天然气;氢能源;锂电池概念;燃料电池;新能源汽车;融资融券,300985,33,7
300779.SZ,稀土永磁;固废处理;钒电池;融资融券;深股通,300779,33,5
301499.SZ,汽车热管理;专精特新;燃料电池;新能源汽车;传感器;高压快充;氢能源;无人驾驶;消费电子概念;毫米波雷达;汽车电子;芯片概念;天然气;PCB概念;第三代半导体;融资融券,301499,33,16
300912.SZ,人形机器人;汽车热管理;中俄贸易概念;机器人概念;传感器;比亚迪概念;新能源汽车;工业互联网;碳中和;股权转让(并购重组);融资融券,300912,33,11
301379.SZ,存储芯片;MiniLED;消费电子概念;PCB概念;汽车电子;比亚迪概念;智能家居;无人机;海峡两岸;低空经济;长安汽车概念;人工智能;西部大开发;深股通;融资融券,301379,33,15
300718.SZ,人形机器人;汽车热管理;特斯拉概念;机器人概念;专精特新;长三角一体化;风电;核电;融资融券;深股通,300718,33,10
301596.SZ,减速器;人形机器人;新型工业化;机器人概念;新能源汽车;无人机;核电;西部大开发;风电;融资融券;深股通,301596,33,11
688311.SH,军工信息化;卫星导航;军民融合;商业航天;大飞机;军工;西部大开发;沪股通;融资融券,688311,17,9
300018.SZ,电力物联网;柔性直流输电;特高压;智能电网;抽水蓄能;核电;家庭医生;专精特新;智能医疗;血氧仪;水利;基因测序;医疗器械概念;深股通;融资融券,300018,33,15
